Time_Iter,Outer_Iter,Inner_Iter,"    ""rms[Rho]""    ","    ""rms[RhoU]""   ","    ""rms[RhoV]""   ","    ""rms[RhoE]""   ","     ""rms[k]""     ","     ""rms[w]""     "
0,0,253,-10.745221,-7.576189,-8.0910509,-4.2476422,-7.4352231,-6.6795003
0,0,254,-10.784547,-7.6139245,-8.1289854,-4.2843729,-7.4720512,-6.7262579
0,0,255,-10.823661,-7.651761,-8.1674278,-4.3219701,-7.5097122,-6.7735585
0,0,256,-10.862953,-7.690099,-8.2052477,-4.3590966,-7.5468584,-6.7606928
0,0,257,-10.902645,-7.7284112,-8.2436709,-4.3968092,-7.5850556,-6.8078021
0,0,258,-10.941357,-7.7667214,-8.2823197,-4.4343145,-7.6225673,-6.7425034
0,0,259,-10.981349,-7.8047541,-8.320063,-4.4723052,-7.6604494,-6.8044384
0,0,260,-11.020625,-7.8439173,-8.3594001,-4.5104623,-7.6987819,-6.7383108
0,0,261,-11.060574,-7.8825468,-8.3974574,-4.5464924,-7.7368482,-6.7598515
0,0,262,-11.100384,-7.9218085,-8.4367194,-4.5835546,-7.7756228,-6.67027
0,0,263,-11.140075,-7.9601281,-8.4754021,-4.6226996,-7.8146669,-6.816402
0,0,264,-11.179757,-7.9999189,-8.5145883,-4.6585596,-7.8532987,-6.8190914
0,0,265,-11.219701,-8.0391216,-8.5519265,-4.6969246,-7.8922504,-6.7871573
0,0,266,-11.259863,-8.0779004,-8.5910051,-4.7351374,-7.9300104,-6.6970436
0,0,267,-11.300009,-8.1173313,-8.6301447,-4.7691944,-7.9692791,-6.7923851
0,0,268,-11.338439,-8.1559821,-8.6696768,-4.8065546,-8.0084711,-6.7977878
0,0,269,-11.379195,-8.196009,-8.7037719,-4.841062,-8.0502474,-6.6643344
0,0,270,-11.418459,-8.2358418,-8.7443149,-4.8754845,-8.086932,-6.7671844
0,0,271,-11.456935,-8.2760886,-8.776688,-4.9086168,-8.1258436,-6.8296343
0,0,272,-11.496138,-8.3150262,-8.8132938,-4.9389604,-8.1693358,-6.7500043
0,0,273,-11.535821,-8.3530288,-8.8538564,-4.9742752,-8.2068288,-6.7370694
0,0,274,-11.573044,-8.3921781,-8.8880051,-5.0012681,-8.2462579,-6.7844344
0,0,275,-11.611269,-8.432264,-8.9239623,-5.0314582,-8.288417,-6.8560515
0,0,276,-11.646618,-8.470015,-8.9582601,-5.059803,-8.3249696,-6.7927081
0,0,277,-11.681587,-8.5091094,-8.9790308,-5.0762897,-8.3664028,-6.6957889
0,0,278,-11.722631,-8.549176,-9.0192795,-5.1182205,-8.407297,-6.6851192
0,0,279,-11.761133,-8.5869356,-9.0489617,-5.1501655,-8.4489993,-6.7216568
0,0,280,-11.791164,-8.625898,-9.0790352,-5.1544824,-8.4867548,-6.8091263
0,0,281,-11.820672,-8.6616241,-9.1029993,-5.1694064,-8.532733,-6.7994233
0,0,282,-11.858577,-8.6969878,-9.127141,-5.2082299,-8.5689275,-6.7876184
0,0,283,-11.890924,-8.735236,-9.151028,-5.2258159,-8.6087542,-6.7093143
0,0,284,-11.914611,-8.7698209,-9.1642713,-5.2217164,-8.6481758,-6.7602441
0,0,285,-11.947859,-8.7984905,-9.1815331,-5.2439737,-8.6881834,-6.815952
0,0,286,-11.964767,-8.8296773,-9.2014144,-5.2482644,-8.7329845,-6.8259106
0,0,287,-11.982852,-8.8729634,-9.207063,-5.2539611,-8.7758557,-6.8291633
0,0,288,-11.999986,-8.8848635,-9.2290333,-5.2500188,-8.8179681,-6.6999343
0,0,289,-12.025228,-8.9204749,-9.2389827,-5.2722843,-8.8485885,-6.7673814
0,0,290,-12.034487,-8.940355,-9.2694231,-5.2603653,-8.8939186,-6.7547342
0,0,291,-12.060726,-8.9674895,-9.2863687,-5.2802415,-8.9383803,-6.7472103
0,0,292,-12.069711,-8.9983813,-9.262393,-5.2778916,-8.9718295,-6.80723
0,0,293,-12.073695,-9.0047308,-9.2669502,-5.274539,-9.0182752,-6.7607115
0,0,294,-12.102633,-9.0324922,-9.2848673,-5.2955845,-9.0495,-6.8082437
0,0,295,-12.124755,-9.0556683,-9.2862939,-5.3113717,-9.0989895,-6.8053763
